City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Catamarca,AR,68.04,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
262,Marzuq,YE,63.3,clear sky,14.4,46.4667,
263,Buraydah,SA,58.3,scattered clouds,26.326,43.975,Mövenpick Qassim
269,Umm Kaddadah,SD,65.16,scattered clouds,13.6017,26.6876,
270,Kapenguria,KE,57.43,scattered clouds,1.2511,35.0895,EDENS HOTEL
278,Kruisfontein,ZA,64.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
284,Mwinilunga,ZM,61.14,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
300,Rawson,AR,62.2,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
301,Dali,CN,56.07,clear sky,25.7,100.1833,Dali Travelling With Hostel
306,Awjilah,LY,61.9,scattered clouds,29.1081,21.2869,المنزل
308,Alexandria,EG,55.15,few clouds,31.2156,29.9553,Royal Crown Hotel
309,Ngaoundere,CM,68.4,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
314,Piedecuesta,CO,69.71,overcast clouds,6.9879,-73.0495,Villa Nathaly cerca Parque Nacional del Chicamocha
315,Tucuman,AR,65.3,light rain,-26.8241,-65.2226,Dallas Hotel Tucuman
316,Tansen,NP,59.13,few clouds,27.8673,83.5467,Taksar Stay
318,Chuy,UY,65.91,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
319,Vila Do Maio,CV,69.62,clear sky,15.1333,-23.2167,Hotel Marilu
326,Zhuhai,CN,69.55,overcast clouds,22.2769,113.5678,珠海粤财假日酒店
328,Port Lincoln,AU,67.82,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
337,Te Anau,NZ,66.78,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
347,Fukue,JP,56.8,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
350,Adrar,MR,62.69,clear sky,20.5022,-10.0711,
352,Mirpur Mathelo,PK,65.17,clear sky,28.0227,69.5489,Leopards courier mirpur mathelo
356,Santiago Del Estero,AR,67.84,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
365,Lahij,YE,69.51,broken clouds,13.1667,44.5833,
367,Hengyang,CN,55.99,overcast clouds,26.8881,112.615,Honglin Guesthouse
369,Mbuguni,TZ,66.83,scattered clouds,-3.5667,36.95,kaza Moyo Modern Resort
374,Abnub,EG,55.51,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
378,Huoqiu,CN,54.64,overcast clouds,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
380,Comodoro Rivadavia,AR,59.45,overcast clouds,-45.8667,-67.5,Austral Hotel
385,Cabo San Lucas,MX,67.77,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
390,Tuatapere,NZ,57.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
391,Kaniama,CD,64.99,overcast clouds,-7.5667,24.1833,
394,Lompoc,US,59.32,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
395,Sal Rei,CV,68.56,clear sky,16.1833,-22.9167,Marine Club Beach Resort
399,Batemans Bay,AU,68.45,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
408,Bayji,IQ,57.54,broken clouds,34.9311,43.487,مروان /عدنان
411,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
414,Cullinan,ZA,61.77,overcast clouds,-25.6709,28.5236,Cheval Tachete
416,Murgab,TM,50.38,overcast clouds,37.4966,61.9714,
426,Waipawa,NZ,64.92,clear sky,-41.4122,175.5153,Tora Coastal Walk
430,Half Moon Bay,US,54.41,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
436,Gat,IL,50.56,broken clouds,31.61,34.7642,OlusHome
453,Nara,JP,50.97,light rain,34.6851,135.8049,Guesthouse Nara Komachi
458,Ixtapa,MX,65.8,clear sky,20.7,-105.2,hotel la terminal
472,Guerrero Negro,MX,61.86,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
475,Tanout,NE,66.11,clear sky,14.9709,8.8879,
484,Prieta,HN,68.07,broken clouds,15.5833,-86.1833,
488,Taltal,CL,65.28,few clouds,-25.4,-70.4833,Residencial Karime
495,Chizhou,CN,56.66,overcast clouds,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
498,Pacific Grove,US,54.57,few clouds,36.6177,-121.9166,Lovers Point Inn
499,Asyut,EG,55.58,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
507,Valparaiso,CL,62.24,clear sky,-33.0393,-71.6273,Hotel Ultramar
510,Pombas,CV,66.43,few clouds,17.1503,-25.0201,Paul Paradis
515,Shaoyang,CN,51.57,overcast clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
520,Sao Lourenco Do Sul,BR,69.53,overcast clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
522,Lodja,CD,69.53,overcast clouds,-3.4833,23.4333,
523,Shingu,JP,60.39,moderate rain,33.7333,135.9833,Shingu UI Hotel
528,Tapejara,BR,66.79,moderate rain,-28.0681,-52.0139,Hotel Fontana
529,Teguise,ES,59.13,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
530,Bilma,NE,69.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
532,Dakar,SN,64.53,clear sky,14.6937,-17.4441,Novotel Dakar
533,Maiduguri,NG,69.57,broken clouds,11.8464,13.1603,Kagel Mari Police Station
534,Andrews,US,53.91,overcast clouds,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
