City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,Alice Springs,-23.7,133.8833,87.35,35,1,14.97,AU,2022-02-25 01:31:33
178,Afrikanda,67.4429,32.7828,29.03,94,100,14.25,RU,2022-02-25 01:31:34
179,Aquin,18.2833,-73.4,76.3,75,27,1.83,HT,2022-02-25 01:31:34
180,Torbay,47.6666,-52.7314,22.26,76,100,17.27,CA,2022-02-25 01:31:34
181,Labrea,-7.2586,-64.7981,74.89,97,100,1.7,BR,2022-02-25 01:31:35
182,Igrim,63.1906,64.4162,-3.41,99,65,4.5,RU,2022-02-25 01:31:35
183,Dolores,-36.3132,-57.6792,64.38,94,0,6.76,AR,2022-02-25 01:30:02
184,Sisimiut,66.9395,-53.6735,-17.18,96,47,6.6,GL,2022-02-25 01:31:36
185,Bubaque,11.2833,-15.8333,74.82,76,1,17.31,GW,2022-02-25 01:31:36
186,Ballina,-28.8667,153.5667,77.18,85,100,14.97,AU,2022-02-25 01:32:37
187,Vila Franca Do Campo,37.7167,-25.4333,57.2,80,93,7.2,PT,2022-02-25 01:32:37
188,Acajutla,13.5928,-89.8275,80.8,75,2,8.21,SV,2022-02-25 01:32:38
189,Port Elizabeth,-33.918,25.5701,75.09,94,100,12.66,ZA,2022-02-25 01:32:39
190,Satna,24.5833,80.8333,63.57,61,0,3.33,IN,2022-02-25 01:32:39
191,Rincon,32.296,-81.2354,70.25,73,0,10.36,US,2022-02-25 01:32:39
192,Bacalan,11.5464,122.0849,79.79,79,95,19.17,PH,2022-02-25 01:32:40
193,Hirara,24.8,125.2833,66.06,59,40,19.57,JP,2022-02-25 01:32:40
194,Santa Maria,-29.6842,-53.8069,74.5,88,75,10.36,BR,2022-02-25 01:30:18
195,Esperance,-33.8667,121.9,75.04,46,100,17.29,AU,2022-02-25 01:32:41
196,Campo Verde,-20.4167,-54.0667,81.61,73,67,4.61,BR,2022-02-25 01:32:41
197,Yerbogachen,61.2767,108.0108,-3.55,94,99,1.86,RU,2022-02-25 01:32:42
198,Saurimo,-9.6608,20.3916,63.7,98,100,2.26,AO,2022-02-25 01:32:42
199,Koungou,-12.7336,45.2042,78.51,94,75,2.3,YT,2022-02-25 01:32:43
200,Hovd,48.0056,91.6419,1.29,72,32,2.26,MN,2022-02-25 01:32:43
201,Lorengau,-2.0226,147.2712,82.63,76,100,9.17,PG,2022-02-25 01:32:43
202,Tilichiki,60.4667,166.1,22.32,89,100,12.44,RU,2022-02-25 01:32:44
203,Mehamn,71.0357,27.8492,28.18,93,81,16.78,NO,2022-02-25 01:32:44
204,Pimentel,-6.8367,-79.9342,72.1,81,92,11.39,PE,2022-02-25 01:32:45
205,Medea,36.2642,2.7539,37.85,42,96,3.98,DZ,2022-02-25 01:32:45
206,Qasigiannguit,68.8193,-51.1922,-25.22,96,99,5.08,GL,2022-02-25 01:32:45
207,Aklavik,68.2191,-135.0107,7.52,100,90,6.87,CA,2022-02-25 01:32:46
208,Tiznit,29.5833,-9.5,59.74,57,45,2.37,MA,2022-02-25 01:32:46
209,Saint-Denis,48.9167,2.3333,39.15,80,0,10.36,FR,2022-02-25 01:32:47
210,Husavik,66.0449,-17.3389,15.71,94,63,12.84,IS,2022-02-25 01:32:47
211,Golfito,8.639,-83.166,74.52,88,37,1.3,CR,2022-02-25 01:32:48
212,Tigre,-34.426,-58.5796,71.6,96,0,2.3,AR,2022-02-25 01:32:38
213,Luau,-10.7073,22.2247,63.23,99,100,2.71,AO,2022-02-25 01:32:48
214,Longyan,25.1072,117.0225,52.74,83,62,1.63,CN,2022-02-25 01:32:49
215,Henties Bay,-22.116,14.2845,65.86,87,0,7.72,NA,2022-02-25 01:32:49
216,Adrar,20.5022,-10.0711,78.13,5,100,7.58,MR,2022-02-25 01:32:49
217,Jinji,23.2281,110.8261,53.82,69,0,5.88,CN,2022-02-25 01:32:50
218,Berdigestyakh,62.0989,126.6992,9.32,92,100,8.43,RU,2022-02-25 01:32:50
219,Mokolo,10.7398,13.8019,66.31,22,23,7.07,CM,2022-02-25 01:32:51
220,Narsaq,60.9167,-46.05,19.62,77,100,7.16,GL,2022-02-25 01:32:51
221,Pangnirtung,66.1451,-65.7125,-28.03,100,100,0.43,CA,2022-02-25 01:32:51
222,Bonavista,48.6499,-53.1147,23.11,72,100,22.97,CA,2022-02-25 01:32:52
223,Dennery,13.8996,-60.8879,77.09,78,40,10.36,LC,2022-02-25 01:32:52
224,Healdsburg,38.6105,-122.8692,57.24,47,20,8.05,US,2022-02-25 01:32:53
225,Nikolskoye,59.7035,30.7861,34.88,86,100,13.53,RU,2022-02-25 01:32:53
226,Acapulco,16.8634,-99.8901,80.42,78,0,6.91,MX,2022-02-25 01:32:53
227,Dzemul,21.2,-89.3,82.47,68,0,8.55,MX,2022-02-25 01:32:54
228,Maldonado,-34.6667,-54.9167,71.22,96,35,4.9,UY,2022-02-25 01:32:05
229,Nara,34.6851,135.8049,45.97,36,3,7.74,JP,2022-02-25 01:32:54
230,Fortuna,40.5982,-124.1573,48.65,70,0,10.36,US,2022-02-25 01:32:55
231,Nuuk,64.1835,-51.7216,-19.98,95,87,7.29,GL,2022-02-25 01:32:55
232,Saint Anthony,45.0205,-93.218,12.4,83,100,8.05,US,2022-02-25 01:33:22
233,Tiksi,71.6872,128.8694,-7.67,100,100,6.04,RU,2022-02-25 01:33:56
234,Hasaki,35.7333,140.8333,48.6,27,2,7.83,JP,2022-02-25 01:33:56
235,Moose Factory,51.2585,-80.6094,-7.6,71,0,2.3,CA,2022-02-25 01:33:57
236,Cayhagan,9.6697,122.4256,83.66,62,99,14.99,PH,2022-02-25 01:33:57
237,Bathsheba,13.2167,-59.5167,77.61,78,20,11.5,BB,2022-02-25 01:33:58
238,Nata,8.3333,-80.5167,77.47,74,5,11.34,PA,2022-02-25 01:33:58
239,Sao Filipe,14.8961,-24.4956,70.39,76,7,11.92,CV,2022-02-25 01:33:59
240,Hadejia,12.4498,10.0444,65.89,10,3,12.73,NG,2022-02-25 01:33:59
241,Hay River,60.8156,-115.7999,17.56,73,75,2.3,CA,2022-02-25 01:33:59
242,Vallenar,-28.5708,-70.7581,71.74,45,0,2.73,CL,2022-02-25 01:30:17
243,Altay,47.8667,88.1167,16.05,67,77,5.61,CN,2022-02-25 01:34:00
244,Zabol,32.25,67.25,38.14,68,0,7.27,AF,2022-02-25 01:34:00
245,Port Blair,11.6667,92.75,78.84,89,40,8.05,IN,2022-02-25 01:34:01
246,Tucumcari,35.1717,-103.725,42.64,19,0,11.5,US,2022-02-25 01:34:01
247,Dingle,10.9995,122.6711,82.17,70,96,18.3,PH,2022-02-25 01:34:02
248,Grand Gaube,-20.0064,57.6608,75.6,84,100,8.28,MU,2022-02-25 01:34:02
249,Kathu,7.9178,98.3332,84.69,88,94,12.66,TH,2022-02-25 01:34:02
250,Cabo San Lucas,22.8909,-109.9124,73.71,64,0,5.75,MX,2022-02-25 01:31:48
251,Beidao,34.5686,105.8933,36.73,72,35,2.98,CN,2022-02-25 01:34:03
252,Rocha,-34.4833,-54.3333,65.64,98,69,5.28,UY,2022-02-25 01:34:04
253,Puerto Ayora,-0.7393,-90.3518,75.34,86,86,7.05,EC,2022-02-25 01:34:04
254,Nanortalik,60.1432,-45.2371,20.43,76,100,13.15,GL,2022-02-25 01:34:04
255,Vostok,46.4856,135.8833,18.99,86,100,6.2,RU,2022-02-25 01:34:05
256,Deputatskiy,69.3,139.9,-2.36,82,100,3.36,RU,2022-02-25 01:34:05
257,Nehe,48.4833,124.8333,16.25,82,99,7.4,CN,2022-02-25 01:34:06
258,Touros,-5.1989,-35.4608,81.5,71,1,14.67,BR,2022-02-25 01:34:06
259,Hambantota,6.1241,81.1185,75.54,94,20,6.91,LK,2022-02-25 01:34:07
260,Faya,18.3851,42.4509,57.31,46,35,4.23,SA,2022-02-25 01:34:07
261,Cooma,-36.2333,149.1333,65.97,94,75,8.05,AU,2022-02-25 01:34:07
262,Semnan,35.5729,53.3971,48.04,53,0,2.3,IR,2022-02-25 01:34:08
263,Liberty,31.8335,-81.5004,70.05,79,0,5.75,US,2022-02-25 01:33:11
264,Saint-Pierre,-21.3393,55.4781,74.88,88,0,5.75,RE,2022-02-25 01:34:08
265,Karratha,-20.7377,116.8463,101.8,25,11,4.27,AU,2022-02-25 01:34:09
266,Sala,34.0389,-6.8166,61.63,82,75,11.5,MA,2022-02-25 01:34:09
267,Longyearbyen,78.2186,15.6401,-13.16,70,20,5.75,SJ,2022-02-25 01:34:10
268,Ostrovnoy,68.0531,39.5131,30.85,81,59,26.13,RU,2022-02-25 01:34:10
269,Kavaratti,10.5669,72.642,80.28,72,49,10.02,IN,2022-02-25 01:34:11
270,Tahoua,14.8888,5.2692,67.8,11,0,12.26,NE,2022-02-25 01:34:11
271,Denpasar,-8.65,115.2167,83.86,79,20,5.75,ID,2022-02-25 01:34:11
272,Saint Pete Beach,27.7253,-82.7412,73.45,74,0,4.61,US,2022-02-25 01:30:08
273,Alofi,-19.0595,-169.9187,75.09,94,100,13.8,NU,2022-02-25 01:34:12
274,Seoul,37.5683,126.9778,38.77,67,0,6.91,KR,2022-02-25 01:34:12
275,Fallon,39.4735,-118.7774,39.07,30,75,5.75,US,2022-02-25 01:31:53
276,Kalianget,-7.05,113.9333,81.63,77,96,8.97,ID,2022-02-25 01:34:13
277,Boffa,10.1667,-14.0333,74.5,88,4,2.75,GN,2022-02-25 01:34:14
278,Bambous Virieux,-20.3428,57.7575,75.45,94,40,4.61,MU,2022-02-25 01:34:14
279,Boguchany,58.3814,97.4531,13.87,95,99,5.75,RU,2022-02-25 01:34:14
280,Ulladulla,-35.35,150.4667,71.87,95,100,4.29,AU,2022-02-25 01:35:15
281,Roald,62.5833,6.1333,39.34,65,20,11.5,NO,2022-02-25 01:35:15
282,Bosaso,11.2842,49.1816,74.26,75,59,4.59,SO,2022-02-25 01:35:16
