City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Khandyga,RU,62.6667,135.6,-5.1,89,96,1.97,overcast clouds
182,Raudeberg,NO,61.9875,5.1352,41.04,78,100,27.58,overcast clouds
183,Fairbanks,US,64.8378,-147.7164,16.03,98,99,1.77,overcast clouds
184,Sitka,US,57.0531,-135.33,39.45,97,100,1.9,light rain
185,Carnarvon,AU,-24.8667,113.6333,80.74,56,20,19.98,few clouds
186,Agadir,MA,30.4202,-9.5982,57.65,62,2,2.82,clear sky
187,Torbay,CA,47.6666,-52.7314,23.63,83,100,19.64,light snow
188,Port Hedland,AU,-20.3167,118.5667,89.08,61,100,4.5,overcast clouds
189,Caravelas,BR,-17.7125,-39.2481,75.6,84,2,4.27,clear sky
190,Ahipara,NZ,-35.1667,173.1667,70.84,57,97,1.52,light rain
191,Coelho Neto,BR,-4.2567,-43.0128,72.66,98,100,1.9,light rain
192,Whitehorse,CA,60.7161,-135.0538,26.89,97,100,2.55,overcast clouds
193,Zyryanovsk,KZ,49.7386,84.2719,-1.55,98,99,1.52,overcast clouds
194,Terekli-Mekteb,RU,44.1671,45.8698,40.42,78,98,9.84,overcast clouds
195,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.13,99,91,1.32,overcast clouds
196,Forbes,AU,-33.3833,148.0167,83.14,37,100,5.14,light rain
197,Talnakh,RU,69.4865,88.3972,11.21,95,100,9.71,overcast clouds
198,Lampang,TH,18.3333,99.5,87.24,30,30,1.03,scattered clouds
199,Seoul,KR,37.5683,126.9778,45.63,70,100,6.11,overcast clouds
200,Oyem,GA,1.5995,11.5793,66.99,99,53,2.35,broken clouds
201,Grand Gaube,MU,-20.0064,57.6608,80.51,80,99,8.68,overcast clouds
202,Bilibino,RU,68.0546,166.4372,1.33,94,94,1.01,overcast clouds
203,Itarema,BR,-2.9248,-39.9167,79.48,79,53,12.21,broken clouds
204,Pangnirtung,CA,66.1451,-65.7125,-10.79,82,94,4.27,overcast clouds
205,Yashkino,RU,55.8736,85.4265,17.37,94,100,10.11,overcast clouds
206,Necochea,AR,-38.5473,-58.7368,53.42,53,3,5.93,clear sky
207,Ribeira Grande,PT,38.5167,-28.7,62.19,93,99,14.05,overcast clouds
208,Saurimo,AO,-9.6608,20.3916,65.89,96,100,2.42,moderate rain
209,Nabire,ID,-3.3667,135.4833,85.3,71,72,5.95,broken clouds
210,Yanam,IN,16.7333,82.2167,79.86,48,38,2.82,scattered clouds
211,Aden,YE,12.7794,45.0367,77.05,75,32,15.46,scattered clouds
212,Radishchevo,RU,52.85,47.8833,28.71,94,100,9.86,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,83.77,70,69,11.43,broken clouds
214,Srednekolymsk,RU,67.45,153.6833,-0.09,91,100,8.99,overcast clouds
215,Ballinrobe,IE,53.6333,-9.2333,36.59,76,5,1.74,clear sky
216,Tomatlan,MX,19.9333,-105.25,68.0,92,6,1.07,clear sky
217,Qaanaaq,GL,77.484,-69.3632,4.51,55,100,8.41,overcast clouds
218,Tamiahua,MX,21.2667,-97.45,61.29,78,72,3.06,broken clouds
219,Port Hardy,CA,50.6996,-127.4199,45.32,94,100,5.79,light rain
220,Severo-Kurilsk,RU,50.6789,156.125,25.99,73,100,25.52,light snow
221,Karratha,AU,-20.7377,116.8463,99.07,36,21,6.49,light rain
222,Barao De Melgaco,BR,-16.1944,-55.9675,74.07,93,74,3.24,broken clouds
223,Asau,RO,46.4333,26.4,27.12,78,100,9.86,overcast clouds
224,Gimli,CA,50.6336,-96.9907,6.82,72,94,4.61,overcast clouds
225,San Cristobal,VE,7.7669,-72.225,66.06,88,96,1.88,overcast clouds
226,Felipe Carrillo Puerto,MX,19.5833,-88.05,69.17,87,10,3.09,clear sky
227,Hvide Sande,DK,56.0045,8.1294,36.0,82,100,21.47,overcast clouds
228,Sinnamary,GF,5.3833,-52.95,76.17,91,100,8.55,overcast clouds
229,Port-Gentil,GA,-0.7193,8.7815,81.34,77,100,6.06,overcast clouds
230,Acapulco,MX,16.8634,-99.8901,77.92,75,10,8.66,clear sky
231,Saint-Louis,SN,16.3333,-15.0,62.31,69,0,9.93,clear sky
232,Sola,VU,-13.8833,167.55,81.27,78,100,0.0,overcast clouds
233,Pakxan,LA,18.3778,103.6601,86.05,38,10,1.81,clear sky
234,Ilulissat,GL,69.2167,-51.1,7.16,57,50,11.1,scattered clouds
235,Bud,US,39.447,-86.1758,38.84,76,40,9.22,scattered clouds
236,Akureyri,IS,65.6835,-18.0878,33.73,86,75,3.44,broken clouds
237,Kudahuvadhoo,MV,2.6708,72.8944,82.89,69,85,13.6,overcast clouds
238,Awbari,LY,26.5921,12.7805,65.23,15,100,10.83,overcast clouds
239,Macapa,BR,0.0389,-51.0664,76.86,90,95,6.46,overcast clouds
240,Katsuura,JP,35.1333,140.3,58.3,54,41,24.79,scattered clouds
241,Tadine,NC,-21.55,167.8833,80.96,89,100,17.83,light rain
242,Tiksi,RU,71.6872,128.8694,-18.0,100,100,2.55,overcast clouds
243,Rakitnoye,RU,50.8389,35.8515,29.55,89,100,8.68,overcast clouds
244,Kirakira,SB,-10.4544,161.9205,80.78,79,100,4.72,overcast clouds
245,Texarkana,US,33.4251,-94.0477,47.34,55,100,3.89,overcast clouds
246,Maradi,NE,13.5,7.1017,69.42,9,1,10.29,clear sky
247,Kaitangata,NZ,-46.2817,169.8464,58.75,79,85,12.5,overcast clouds
248,Arlit,NE,18.7369,7.3853,69.62,13,18,4.38,few clouds
249,Lake City,US,30.1897,-82.6393,51.84,92,100,6.6,overcast clouds
250,Broome,US,42.2506,-75.833,14.4,93,82,2.68,broken clouds
251,Pringsewu,ID,-5.3582,104.9744,84.43,58,88,1.74,overcast clouds
252,Najran,SA,17.4924,44.1277,59.9,49,37,1.9,scattered clouds
253,Nikolskoye,RU,59.7035,30.7861,16.68,94,19,4.5,few clouds
254,Sandila,IN,27.0833,80.5167,60.71,49,3,3.83,clear sky
255,Devonport,AU,-41.1667,146.35,74.08,82,100,17.09,overcast clouds
256,Catamarca,AR,-28.4696,-65.7852,68.04,91,100,3.27,overcast clouds
257,Berlevag,NO,70.8578,29.0864,29.61,85,100,11.72,overcast clouds
258,Belmonte,BR,-15.8631,-38.8828,76.68,78,66,6.11,broken clouds
